Australian Bureau of Statistics,,,,,,,,,,,,
1270055006C123 Local Government Area 2011 to Remoteness Area 2011,,,,,,,,,,,,
Released at 11.30am (Canberra time) 31 January 2013,,,,,,,,,,,,
Table 3 Correspondence,,,,,,,,,,,,
,,,,,,,,,,,,
LGA_CODE_2011,LGA_NAME_2011,RA_CODE_2011,RA_NAME_2011,RATIO,PERCENTAGE,,,,,,,
25490,Moyne (S),21,Inner Regional Australia,0.7284843,72.8484281,,,,,,,
25490,Moyne (S),22,Outer Regional Australia,0.2715157,27.1515719,,,,,,,
25620,Murrindindi (S),21,Inner Regional Australia,0.8969225,89.692248,,,,,,,
25620,Murrindindi (S),22,Outer Regional Australia,0.1030775,10.307752,,,,,,,
25710,Nillumbik (S),20,Major Cities of Australia,0.9379048,93.790479,,,,,,,
25710,Nillumbik (S),21,Inner Regional Australia,0.0620952,6.209521,,,,,,,
25810,Northern Grampians (S),21,Inner Regional Australia,0.5941541,59.4154103,,,,,,,
25810,Northern Grampians (S),22,Outer Regional Australia,0.4058459,40.5845897,,,,,,,
25900,Port Phillip (C),20,Major Cities of Australia,1,100,,,,,,,
25990,Pyrenees (S),21,Inner Regional Australia,0.9260847,92.6084673,,,,,,,
25990,Pyrenees (S),22,Outer Regional Australia,0.0739153,7.3915327,,,,,,,
26080,Queenscliffe (B),21,Inner Regional Australia,1,100,,,,,,,
26170,South Gippsland (S),21,Inner Regional Australia,0.9261989,92.6198889,,,,,,,
26170,South Gippsland (S),22,Outer Regional Australia,0.0738011,7.3801111,,,,,,,
